source_id,authority,title,publication_date,source_type,primary_status,analytic_role,locator,accessed,exact_use,resolution,coverage,territoriality,limitations,supports,does_not_support
AIC_BASIN,Autoridad Interjurisdiccional de las Cuencas,"La cuenca de los ríos Limay, Neuquén y Negro",2026,official_web,primary,"Geografía, módulos de caudal y régimen pluvionival",https://www.aic.gob.ar/sitio/lacuenca,2026-08-10,"Geografía, módulos de caudal y régimen pluvionival",según fuente,según fuente,según fuente,Descripción estructural; no serie diaria histórica descargada,"Geografía, módulos de caudal y régimen pluvionival",Descripción estructural; no serie diaria histórica descargada
AIC_MONTHLY_2025_01,AIC,Informe mensual enero 2025,2025-01,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/sitio/archivos/202509/mens_01_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,enero 2025,Limay/Collón Curá/Neuquén,instantánea mensual,condición seca,causa anual
AIC_MONTHLY_2025_04,AIC,Informe mensual abril 2025,2025-04,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/sitio/archivos/202509/mens_04_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,abril 2025,cuencas Comahue,instantánea mensual,condición seca,causa anual
AIC_MONTHLY_2025_05,AIC,Informe mensual mayo 2025,2025-05,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/sitio/archivos/202509/mens_05_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,mayo 2025,cuencas Comahue,instantánea mensual,condición seca,causa anual
AIC_MONTHLY_2025_07,AIC,Informe mensual julio 2025,2025-07,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/sitio/archivos/202510/mens_07_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,julio 2025,cuencas Comahue,instantánea mensual,condición seca,causa anual
AIC_MONTHLY_2025_08,AIC,Informe mensual agosto 2025,2025-08,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/sitio/archivos/202510/mens_08_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,agosto 2025,cuencas Comahue,instantánea mensual,condición seca,causa anual
AIC_MONTHLY_2025_10,AIC,Informe mensual octubre 2025,2025-10,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/Sitio/archivos/202602/mens_10_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,octubre 2025,cuencas Comahue,instantánea mensual,condición seca,causa anual
AIC_MONTHLY_2025_12,AIC,Informe mensual diciembre 2025,2025-12,official_hydrology_report,primary,precipitación/derrame,https://www.aic.gob.ar/sitio/archivos/202603/mens_12_%202025.pdf,2026-08-10,anomalías por subcuenca,mensual,diciembre 2025,cuencas Comahue,instantánea mensual,condición seca,causa anual
AIC_OCT_2025,Autoridad Interjurisdiccional de las Cuencas,"Informe hidrometeorológico mensual, octubre de 2025",2025,official_report,primary,"Déficit de precipitación, derrames y niveles relativos a la media",https://www.aic.gob.ar/Sitio/archivos/202602/mens_10_%202025.pdf,2026-08-10,"Déficit de precipitación, derrames y niveles relativos a la media",según fuente,según fuente,según fuente,Un mes no explica por sí solo la generación anual,"Déficit de precipitación, derrames y niveles relativos a la media",Un mes no explica por sí solo la generación anual
AIC_RESERVOIRS,Autoridad Interjurisdiccional de las Cuencas,Embalses de la cuenca,2026,official_web,primary,Inventario de embalses y fichas de aprovechamientos,https://www.aic.gob.ar/sitio/embalses,2026-08-10,Inventario de embalses y fichas de aprovechamientos,según fuente,según fuente,según fuente,Los valores visibles son instantáneas actuales; no se trasladan a 2025,Inventario de embalses y fichas de aprovechamientos,Los valores visibles son instantáneas actuales; no se trasladan a 2025
ANG_2005,Beng Wah Ang,The LMDI approach to decomposition analysis: a practical guide,2005,academic_article,secondary_method,Método IDA-LMDI,https://doi.org/10.1016/j.enpol.2003.10.010,2026-08-08,Método IDA-LMDI,según fuente,según fuente,según fuente,Referencia metodológica; no evidencia argentina,Método IDA-LMDI,Referencia metodológica; no evidencia argentina
