legacy_surface,new_home,action,reason
v0.8.3 opening/mix,Ch. 1,REWRITE_AND_CONDENSE,2005/2012/2018/2025 opening retained
scope and methods,Ch. 2 + Annex A,SPLIT,reader-facing boundaries in body; formulas in annex
demand and flexibility,Ch. 3,INTEGRATE,"annual, duration, peaks and ramps in one arc"
renewables and programs,Ch. 4,INTEGRATE,technology and instrument evidence combined
hydropower cases,Ch. 5,INTEGRATE,Yacyretá and Comahue under water-risk question
"thermal, emissions, hourly models",Ch. 6 + Annex B,INTEGRATE_AND_MOVE_METHOD,plain meaning in body; diagnostics in annex
province and network policy,Ch. 7 + Atlas annex,EXPAND,new official GIS and 2026 topology layer
regional comparison,Ch. 8,NORMALIZE_AND_EXPAND,four common-boundary views
implications,Ch. 9,NEW_SYNTHESIS,"traceable actors, horizons and data gaps"
conclusions/limitations,Ch. 10–11,SEPARATE,integrated conclusion followed by limits and data agenda
