reference_id,autor_o_institucion,titulo_real,anio,tipo,url_oficial_o_doi,fecha_consulta,afirmaciones_que_sostiene,limite_de_uso,disponibilidad_local,sha256_local,estado
AlmaMDI2024,AlmaMDI,Nodos del sistema — corte 30 de enero de 2024,2024,Planilla técnica adjunta,,NOT_APPLICABLE,inventario nodal adjunto y cobertura geográfica,campos sin diccionario y coincidencias nodales incompletas,sin copia local en el release,NOT_APPLICABLE,PASS_WITH_LIMITATION
Ang2005,"Ang, B. W.",The LMDI approach to decomposition analysis: a practical guide,2005,"Energy Policy, 33(7), 867–871",https://doi.org/10.1016/j.enpol.2003.10.010,2026-08-18,fundamento metodológico para descomposición o inferencia econométrica,"la validez empírica sigue condicionada a datos, frontera y supuestos",sin copia local en el release,NOT_APPLICABLE,PASS
Argentina2006,Argentina,Ley 26.190 — Régimen de fomento nacional para el uso de fuentes renovables,2006,InfoLEG,https://servicios.infoleg.gob.ar/infolegInternet/anexos/120000-124999/123565/norma.htm,2026-08-18,marco normativo y rutas institucionales de incorporación renovable,usar sólo para la afirmación y frontera registradas,sin copia local en el release,NOT_APPLICABLE,PASS
Argentina2015,Argentina,Ley 27.191 — Modificación del régimen de fomento de fuentes renovables,2015,InfoLEG,https://servicios.infoleg.gob.ar/infolegInternet/anexos/250000-254999/253626/norma.htm,2026-08-18,marco normativo y rutas institucionales de incorporación renovable,usar sólo para la afirmación y frontera registradas,sin copia local en el release,NOT_APPLICABLE,PASS
Argentina2016,Argentina,Decreto 531/2016 — Reglamentación de la Ley 27.191,2016,Boletín Oficial,https://www.boletinoficial.gob.ar/detalleAviso/primera/142740/20160331,2026-08-18,marco normativo y rutas institucionales de incorporación renovable,usar sólo para la afirmación y frontera registradas,sin copia local en el release,NOT_APPLICABLE,PASS
BancoMundial2026,Banco Mundial,"World Development Indicators: Population, total (SP.POP.TOTL)",2026,Actualización del 13 de julio de 2026,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-18,denominador poblacional 2025 para métricas regionales per cápita,does not control economic structure or climate,sources/world_bank_population_2025.json,841760e1cbb07cc7ed1169cb57628f2ff31b1e02964eb7f9e954eb18306d3619,PASS
CAMMESA2026a,CAMMESA,Estadísticas anuales 2005–2025,2026a,"Balance, potencia, combustibles y emisiones",https://cammesaweb.cammesa.com/estadistica/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",la frontera depende de la base y del vintage; topología no equivale a flujo,sin copia local en el release,NOT_APPLICABLE,PASS
CAMMESA2026b,CAMMESA,Bases mensuales y demanda provincial horaria,2026b,Corte junio de 2026,https://cammesaweb.cammesa.com/estadistica/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",la frontera depende de la base y del vintage; topología no equivale a flujo,sin copia local en el release,NOT_APPLICABLE,PASS
CAMMESA2026c,CAMMESA,Oferta y operación horaria 2023–2025,2026c,Corte junio de 2026,https://cammesaweb.cammesa.com/estadistica/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",la frontera depende de la base y del vintage; topología no equivale a flujo,sin copia local en el release,NOT_APPLICABLE,PASS
CAMMESA2026d,CAMMESA,Base de energías renovables,2026d,Corte junio de 2026,https://cammesaweb.cammesa.com/energias-renovables/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",la frontera depende de la base y del vintage; topología no equivale a flujo,sin copia local en el release,NOT_APPLICABLE,PASS
CAMMESA2026e,CAMMESA,"Hidráulica, cotas, disponibilidad y generación",2026e,Bases operativas y anuario,https://cammesaweb.cammesa.com/estadistica/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",la frontera depende de la base y del vintage; topología no equivale a flujo,sin copia local en el release,NOT_APPLICABLE,PASS
CAMMESA2026f,CAMMESA,Geografía del SADI y diagramas unifilares regionales,2026f,Edición agosto de 2026,https://cammesaweb.cammesa.com/geografia-del-sadi/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",not digitized as flow,network/raw_official/GEOSADI2026_08(1).pdf,506f2392268044c2ada2c440fe9d3eee6f778757933d66f372e39c6c0b666c65,PASS
CAMMESA2026g,CAMMESA,Intercambios internacionales de energía eléctrica,2026g,Series anuales y horarias,https://cammesaweb.cammesa.com/estadistica/,2026-08-18,"balances, operación, renovables, hidráulica, intercambios o topología del SADI, según la obra",la frontera depende de la base y del vintage; topología no equivale a flujo,sin copia local en el release,NOT_APPLICABLE,PASS
